fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221019 091821	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	446	1	1	1	0.1	50	0.5	FALSE	690621	0.0150331548763841	0.570176620483235	176	1803	0.0176278270138926	16218	67004000	45
20221019 093544	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	997	1	1	1	0.1	50	0.5	FALSE	690621	0.0748168532063887	0.295887981751719	93	1984	2.71631197640253e-06	16448	70384000	46
20221019 134020	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1103	1	1	1	0.1	50	0.5	FALSE	690621	0.026701473005907	0.553612100810837	44	1624	4.69305785645357e-06	18559	71522000	47
20221019 150357	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2986	1	1	1	0.1	50	0.5	FALSE	690621	0.0187618345655213	0.488085846299686	593	2048	2.02427185635458e-05	16472	69936000	48
20221019 155405	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2164	1	1	1	0.1	50	0.5	FALSE	690621	0.0146210413213406	0.362643584807019	107	1706	1.10640506126387e-05	15176	71488000	49
20221019 163305	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1412	1	1	1	0.1	50	0.5	FALSE	690621	0.0199409328837102	0.5512551720281	34	2045	6.96592967526581e-06	15499	71722000	50
20221019 172527	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2132	1	1	1	0.1	50	0.5	FALSE	690621	0.0179911066825889	0.623305385789394	98	2041	5.24652090624172e-06	16947	71546000	51
20221019 175002	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1012	1	1	1	0.1	50	0.5	FALSE	690621	0.0277381347767915	0.300755335014867	81	1779	6.8384239221824e-06	19545	71390000	52
20221019 182356	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2034	1	1	1	0.1	50	0.5	FALSE	690621	0.0308332496143952	0.297117917772027	162	1778	3.863709220894e-06	15845	70710000	53
20221019 184733	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	996	1	1	1	0.1	50	0.5	FALSE	690621	0.03033248219645	0.379486077032354	52	1680	5.46868512810931e-06	17748	71304000	54
20221019 190627	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	585	1	1	1	0.1	50	0.5	FALSE	690621	0.0464384797656062	0.523423815576593	69	1995	8.74571084691462e-06	16418	70924000	55
20221019 193215	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1047	1	1	1	0.1	50	0.5	FALSE	690621	0.0366330572064627	0.646832433473192	144	2044	7.59168409249814e-06	15731	70778000	56
20221019 200527	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	2152	1	1	1	0.1	50	0.5	FALSE	690621	0.0470502443120615	0.372671764060931	111	1562	2.11228729547982e-06	16048	70704000	57
20221019 210147	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1363	1	1	1	0.1	50	0.5	FALSE	690621	0.0212705951274409	0.47911209283981	56	1560	6.22028087803122e-06	16819	71882000	58
20221019 213534	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1199	1	1	1	0.1	50	0.5	FALSE	690621	0.0239071680562488	0.515305385095254	53	1886	8.02759854474978e-06	15786	70988000	59
20221019 220350	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1056	1	1	1	0.1	50	0.5	FALSE	690621	0.0234031777059103	0.44059606230685	70	1384	1.1801519930563e-05	16648	71664000	60
20221019 224024	590	324819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0	0	31	1816	1	1	1	0.1	50	0.5	FALSE	690621	0.0220211793091135	0.468878772035555	25	1378	3.21303944201847e-06	16578	70844000	61
